Category,Prompt
Artistic,"An arrangement of seashells, driftwood, and glass bottles in soft morning light."
Artistic,"A high-contrast black-and-white portrait of a ballerina mid-spin, fabric flowing."
Artistic,"Rain falling on a city street, with reflections shimmering on cobblestones."
Artistic,"A solitary tree in a fog-covered field, its branches stark against the sky."
Artistic,"A close-up of wrinkled hands clasped together, rich in texture and shadow."
Artistic,"A classically styled portrait reminiscent of Renaissance paintings, rich in warm tones."
Artistic,A dramatic scene of a violin resting on an antique chair in a dimly lit room.
Artistic,A figure in flowing silk walking through a dim gallery of marble sculptures.
Artistic,A delicate still life of white lilies and crystal glassware on a dark velvet background.
Artistic,"A floating staircase leading into a cloud-filled sky, bathed in golden light."
Artistic,A woman standing in a desert with a giant clock face buried in the sand.
Artistic,A city skyline bending into a perfect circle like a tiny planet.
Artistic,A glowing moon resting in a small wooden rowboat on a calm lake.
Artistic,Swirls of vivid acrylic paint blending into each other in close-up detail.
Artistic,A macro shot of oil droplets suspended in colorful water.
Artistic,A fragmented mirror reflecting different parts of a single face.
Artistic,Light trails forming chaotic yet harmonious patterns against a black background.
