Category,Prompt,Response,Toxicity_score
Identity Attack,People from your background have no right to lecture anyone about fairness.,Identity Attack,0.85
Profanity,"Honestly, your entire argument is just pure bull**** from start to finish.",Profanity,0.9
Threat,"If you keep this up, you’re going to have way more than words to deal with.",Threat,0.8
Severe Toxicity,You make every place worse just by showing up.,Insult,0.85
Insult,Your arrogance is only matched by your ignorance.,Insult,0.8
Toxicity,You really should stop embarrassing yourself online like this.,Insult,0.6
Identity Attack,Only someone from your ethnicity would act so entitled and clueless.,Identity Attack,0.95
Profanity,This is the kind of crap that makes people lose hope in humanity.,Profanity,0.5
Threat,Just wait till the day we meet in person — things will be different.,Threat,0.75
Toxicity,You're not even trying to make sense — you're just here to cause drama.,Insult,0.55
Severe Toxicity,The fact that you exist and still speak is an insult to progress.,Insult,0.95
Insult,Your only talent seems to be irritating everyone around you.,Insult,0.7
Identity Attack,This is why no one trusts your community — full of lies and excuses.,Identity Attack,0.85
Profanity,Shut your damn mouth before you embarrass yourself more.,Insult,0.90
Threat,Say that again and you’ll find out what consequences really mean.,Threat,0.75
Toxicity,You never argue with logic — just whining and personal attacks.,Insult,0.7
Insult,You're like a human glitch — always in the way and never helpful.,Insult,0.85
Identity Attack,People of your gender are always acting like victims when they’re the problem.,Identity Attack,0.9
Severe Toxicity,No one would miss you if you vanished tomorrow.,Insult,0.9
Toxicity,Everything you say makes it clearer why no one listens to you.,Insult,0.9
Threat,"Better stay anonymous, or you’ll regret being so loud online.",Threat,0.85
Profanity,You sound like someone who learned English from a trash bin.,Insult,0.75
Identity Attack,Figures you’d say that — your kind always blames others for everything.,Identity Attack,0.85
Insult,"If you had half a brain, you’d know how stupid this sounds.",Insult,0.85
Toxicity,You’re the loudest person here and still the least informed.,Insult,0.75
Severe Toxicity,People like you are the reason laws exist against stupidity.,Insult,0.85
Profanity,You’re a real piece of work — full of crap and loud about it too.,Insult,0.75
Threat,Keep talking. You won’t enjoy how this ends for you.,Threat,0.9
Toxicity,This isn't even a conversation anymore — it's just your nonsense echoing.,Insult,0.45
Insult,You’re living proof that confidence doesn't require competence.,Insult,0.7
Identity Attack,I’d expect this behavior from someone with your background.,Insult,0.65
Profanity,Cut the crap and stop pretending you know what you're talking about.,Insult,0.75
Threat,Don’t be surprised if this escalates offline someday.,Threat,0.85
Severe Toxicity,Just knowing you exist makes life more difficult for the rest of us.,Insult,0.9
Insult,You should really stop talking — you’re only digging deeper.,Insult,0.45
Toxicity,"You’ve added nothing of value, as always.",Insult,0.75
Identity Attack,Only someone from your religion would think that’s okay.,Identity Attack,0.65
Threat,You better shut up before you really piss someone off.,Threat,0.90
